Eczane Adı;İletişim No;Enlem;Boylam;Adres
DİLEK;0 - (332) 631 - 2575;37.8673958;32.4808038;Ölmez Mahallesi Millet Caddesi No:4B
ELMALI;0 - (332) 631 - 2089;37.868619;32.480809;Ölmez Mahallesi Millet Caddesi No:10A
CENNET;0 - (506) 790 - 4319;38.3078536;32.8645946;Ölmez Mah. Vatan Cad. No:36B
SAĞLIK;0 - (332) 512 - 4733;37.672576;31.735093;Esentepe Mahallesi 40525. Sok. No:2F
BÜYÜK;0 - (332) 512 - 5933;37.6775056;31.7266706;Evsat Mahallesi 40614. Sokak Tuncay Tekeli İş Merkezi No:13B-C
GÜNAYDIN;0 - (332) 512 - 6678;37.6804616;31.7311563;Dalyan Mahallesi Atatürk Caddesi No: 29B
SAVAŞ;0 - (332) 512 - 2727;37.6775056;31.7266706;Evsat Mahallesi 40753 Sokak No:1B
TAYFUN;0 - (332) 516 - 1514;37.679796;31.724299;Huğlu Mahallesi Özgürlük Caddesi No:18A
ALTINMADEN;0 - (332) 512 - 0011;37.672576;31.735093;Esentepe Mahallesi 40525. Sokak No:2H
ÜZMEZ;0 - (332) 512 - 8383;37.6775056;31.7266706;Evsat Mahallesi 40615. Sokak No:1I
ŞENOL;0 - (332) 512 - 4732;37.6797275;31.7253248;Dalyan Mahallesi Atatürk Caddesi No:13B
ELİF;0 - (332) 512 - 5121;37.6719557;31.7290029;Hamidiye Mahallesi Ali Akkanat Caddesi No:37B
ÜMİT;0 - (332) 512 - 9310;37.6744571;31.7227743;Yeni Mahalle Bağlar Caddesi No:51A
ŞENYURT;0 - (332) 511 - 0048;37.6832409;31.7236213;Bahçelievler Mahallesi Prof. Dr. Yılmaz Muslu Caddesi 12A
GÖKMENOĞLU;0 - (332) 512 - 4772;37.6700739;31.7394939;Esentepe Mahallesi 40525. Sokak No:2E
İRFAN;0 - (332) 512 - 3334;37.679796;31.724299;Hacı Armağan  Mahallesi 40755. Sokak No:3A
